,0,Ed,Ed_Matrix,Str1,Str2,comptime,ref
0,1512139781.881303,,,,,,
1,a,,,,,,
2,w,,,,,,
3,1,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]]",,,,,,
5,0.0036089420318603516,,,,,,
0,1512139781.892742,,,,,,
1,s,,,,,,
2,pv,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]]",,,,,,
5,0.003528118133544922,,,,,,
0,1512139781.903871,,,,,,
1,x,,,,,,
2,npw,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]]",,,,,,
5,0.0034830570220947266,,,,,,
0,1512139781.915028,,,,,,
1,h,,,,,,
2,vjoz,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]]",,,,,,
5,0.003529787063598633,,,,,,
0,1512139781.926318,,,,,,
1,p,,,,,,
2,oyjki,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]]",,,,,,
5,0.0036330223083496094,,,,,,
0,1512139781.937693,,,,,,
1,r,,,,,,
2,jyclnx,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]]",,,,,,
5,0.003543853759765625,,,,,,
0,1512139781.949264,,,,,,
1,p,,,,,,
2,nrptops,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  2.  3.  4.  5.  6.]]",,,,,,
5,0.004008054733276367,,,,,,
0,1512139781.961735,,,,,,
1,i,,,,,,
2,liykcuyp,,,,,,
3,7,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  1.  2.  3.  4.  5.  6.  7.]]",,,,,,
5,0.0034170150756835938,,,,,,
0,1512139781.97371,,,,,,
1,r,,,,,,
2,ogbpffpdq,,,,,,
3,9,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]]",,,,,,
5,0.003398895263671875,,,,,,
0,1512139781.985688,,,,,,
1,kn,,,,,,
2,d,,,,,,
3,2,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]]",,,,,,
5,0.003432035446166992,,,,,,
0,1512139781.997408,,,,,,
1,ds,,,,,,
2,at,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]]",,,,,,
5,0.003470182418823242,,,,,,
0,1512139782.008919,,,,,,
1,rg,,,,,,
2,zgw,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  1.  2.]]",,,,,,
5,0.003423929214477539,,,,,,
0,1512139782.020537,,,,,,
1,pa,,,,,,
2,ezey,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]]",,,,,,
5,0.0037322044372558594,,,,,,
0,1512139782.032677,,,,,,
1,wg,,,,,,
2,vvnza,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]]",,,,,,
5,0.0036649703979492188,,,,,,
0,1512139782.045689,,,,,,
1,ru,,,,,,
2,mrphxv,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  2.  3.  4.  5.]]",,,,,,
5,0.0035028457641601562,,,,,,
0,1512139782.058737,,,,,,
1,ti,,,,,,
2,yaleexi,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  6.]]",,,,,,
5,0.0037360191345214844,,,,,,
0,1512139782.073422,,,,,,
1,lm,,,,,,
2,fuxrceke,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.003571033477783203,,,,,,
0,1512139782.087004,,,,,,
1,fp,,,,,,
2,lqtbektue,,,,,,
3,9,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  9.]]",,,,,,
5,0.0043849945068359375,,,,,,
0,1512139782.10254,,,,,,
1,ecy,,,,,,
2,i,,,,,,
3,3,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]]",,,,,,
5,0.0038840770721435547,,,,,,
0,1512139782.117349,,,,,,
1,yxh,,,,,,
2,kp,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]]",,,,,,
5,0.004003047943115234,,,,,,
0,1512139782.13035,,,,,,
1,ofq,,,,,,
2,vvt,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]]",,,,,,
5,0.003735780715942383,,,,,,
0,1512139782.14322,,,,,,
1,bzp,,,,,,
2,kcxn,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]]",,,,,,
5,0.003426074981689453,,,,,,
0,1512139782.156343,,,,,,
1,yvx,,,,,,
2,kfcii,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  3.  3.  3.  4.  5.]]",,,,,,
5,0.003592967987060547,,,,,,
0,1512139782.169778,,,,,,
1,xxe,,,,,,
2,lpldbq,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.]]",,,,,,
5,0.003798961639404297,,,,,,
0,1512139782.184292,,,,,,
1,efd,,,,,,
2,sseplrg,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  4.  5.  6.]]",,,,,,
5,0.00415802001953125,,,,,,
0,1512139782.198304,,,,,,
1,lbr,,,,,,
2,dainupqt,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.003777027130126953,,,,,,
0,1512139782.211972,,,,,,
1,eau,,,,,,
2,qljtgrnyu,,,,,,
3,8,,,,,,
