,ref,Str1,Str2,Ed,Ed_Matrix,comptime
1,1513012899.29,z,x,1,"[[ 0.  1.]
 [ 1.  1.]]",0.00576901435852
2,1513012899.3,q,vp,2,"[[ 0.  1.  2.]
 [ 1.  1.  2.]]",0.00471687316895
3,1513012899.31,r,mmt,3,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]]",0.00397515296936
4,1513012899.32,u,bhfq,4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]]",0.00442409515381
5,1513012899.33,y,fmnip,5,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]]",0.00688195228577
6,1513012899.35,x,fmrkgf,6,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]]",0.00358009338379
7,1513012899.36,z,vwazvyc,6,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  3.  4.  5.  6.]]",0.00405788421631
8,1513012899.37,x,xszmpmjq,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  0.  1.  2.  3.  4.  5.  6.  7.]]",0.00359201431274
9,1513012899.37,s,zcpimhojo,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]]",0.00357389450073
10,1513012899.38,h,crbjmljkpv,10,"[[  0.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  1.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]]",0.00337290763855
11,1513012899.39,ny,m,2,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]]",0.00346183776855
12,1513012899.4,gs,hi,2,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]]",0.00332188606262
13,1513012899.41,jg,gdd,3,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  1.  2.  3.]]",0.00354504585266
14,1513012899.42,hs,ofsh,3,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  3.]
 [ 2.  2.  2.  2.  3.]]",0.00332999229431
15,1513012899.43,qx,bsxki,4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  2.  3.  4.]]",0.00348615646362
16,1513012899.44,wp,viiuld,6,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]]",0.00338983535767
17,1513012899.44,rn,cynzgsj,6,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  2.  3.  4.  5.  6.]]",0.00355410575867
18,1513012899.45,pi,nhophkff,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  4.  5.  6.  7.]]",0.00378584861755
19,1513012899.46,ph,dqbkyczpa,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  8.]]",0.00339698791504
20,1513012899.47,dy,hafzmodhwe,9,"[[  0.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  1.   1.   2.   3.   4.   5.   6.   6.   7.   8.   9.]
 [  2.   2.   2.   3.   4.   5.   6.   7.   7.   8.   9.]]",0.00377202033997
21,1513012899.48,prf,u,3,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]]",0.00345206260681
22,1513012899.49,mln,sp,3,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]]",0.00531697273254
23,1513012899.5,pxi,vxi,1,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  1.  2.]
 [ 3.  3.  2.  1.]]",0.00341701507568
24,1513012899.51,slm,zacz,4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]]",0.00343108177185
25,1513012899.52,fxl,gypzp,5,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  3.  3.  3.  4.  5.]]",0.00336718559265
26,1513012899.52,clh,qdrhqz,5,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  3.  4.  5.]]",0.00336813926697
27,1513012899.53,zyp,pawjveh,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  2.  3.  3.  4.  5.  6.  7.]]",0.00338888168335
28,1513012899.54,agn,wcpwrllm,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.]]",0.00345182418823
29,1513012899.55,wek,itsobjpyu,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.  9.]]",0.00336980819702
30,1513012899.56,qts,thwrdqkcry,9,"[[  0.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  1.   1.   2.   3.   4.   5.   5.   6.   7.   8.   9.]
 [  2.   1.   2.   3.   4.   5.   6.   6.   7.   8.   9.]
 [  3.   2.   2.   3.   4.   5.   6.   7.   7.   8.   9.]]",0.00439214706421
31,1513012899.57,tdhi,o,4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]]",0.00402092933655
32,1513012899.58,eyyf,bg,4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]]",0.00354790687561
33,1513012899.59,zdlr,svh,4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]]",0.00334692001343
34,1513012899.59,agom,psfn,4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.]]",0.00345206260681
35,1513012899.6,bgky,yqwjb,5,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  4.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  3.  3.  3.  4.  5.]
 [ 4.  3.  4.  4.  4.  5.]]",0.00332403182983
36,1513012899.61,iiyp,ayhgpc,5,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  2.  3.  4.  5.  6.]
 [ 4.  4.  3.  3.  4.  4.  5.]]",0.00350499153137
37,1513012899.62,hhwe,pehnpvd,6,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  3.  4.  5.  6.]
 [ 4.  4.  3.  4.  4.  4.  5.  6.]]",0.00336718559265
38,1513012899.63,eixi,zdotikga,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  5.  5.  6.  7.]
 [ 4.  4.  4.  4.  4.  4.  5.  6.  7.]]",0.00350999832153
39,1513012899.64,risx,oedjfcrll,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.  8.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  8.  9.]]",0.00339484214783
40,1513012899.64,ibrt,gzpxffgiyz,10,"[[  0.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  1.   1.   2.   3.   4.   5.   6.   7.   7.   8.   9.]
 [  2.   2.   2.   3.   4.   5.   6.   7.   8.   8.   9.]
 [  3.   3.   3.   3.   4.   5.   6.   7.   8.   9.   9.]
 [  4.   4.   4.   4.   4.   5.   6.   7.   8.   9.  10.]]",0.00344896316528
41,1513012899.65,whcow,z,5,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]
 [ 5.  5.]]",0.00332808494568
42,1513012899.66,fdluy,jk,5,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]
 [ 5.  5.  5.]]",0.00335502624512
43,1513012899.67,qwlkp,tbx,5,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]
 [ 5.  5.  5.  5.]]",0.00334000587463
44,1513012899.68,geadz,jtiy,5,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.]
 [ 5.  5.  5.  5.  5.]]",0.00350594520569
45,1513012899.69,pewbt,pdlbd,3,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  0.  1.  2.  3.  4.]
 [ 2.  1.  1.  2.  3.  4.]
 [ 3.  2.  2.  2.  3.  4.]
 [ 4.  3.  3.  3.  2.  3.]
 [ 5.  4.  4.  4.  3.  3.]]",0.00342488288879
