,0,Ed,Ed_Matrix,Str1,Str2,comptime,ref
0,1512131773.443497,,,,,,
1,e,,,,,,
2,f,,,,,,
3,1,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]]",,,,,,
5,0.004812002182006836,,,,,,
0,1512131773.460409,,,,,,
1,o,,,,,,
2,cr,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]]",,,,,,
5,0.004956960678100586,,,,,,
0,1512131773.476205,,,,,,
1,m,,,,,,
2,dgx,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]]",,,,,,
5,0.004055976867675781,,,,,,
0,1512131773.491258,,,,,,
1,c,,,,,,
2,hnuz,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]]",,,,,,
5,0.004330158233642578,,,,,,
0,1512131773.511009,,,,,,
1,i,,,,,,
2,paisx,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  2.  3.  4.]]",,,,,,
5,0.006473064422607422,,,,,,
0,1512131773.532633,,,,,,
1,r,,,,,,
2,xuurmt,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  3.  4.  5.]]",,,,,,
5,0.00666499137878418,,,,,,
0,1512131773.553398,,,,,,
1,i,,,,,,
2,fsnuuka,,,,,,
3,7,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]]",,,,,,
5,0.005994081497192383,,,,,,
0,1512131773.574753,,,,,,
1,g,,,,,,
2,ikbynpjr,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.004817008972167969,,,,,,
0,1512131773.58835,,,,,,
1,a,,,,,,
2,qogbsnlhj,,,,,,
3,9,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]]",,,,,,
5,0.003567934036254883,,,,,,
0,1512131773.600595,,,,,,
1,it,,,,,,
2,x,,,,,,
3,2,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]]",,,,,,
5,0.0034170150756835938,,,,,,
0,1512131773.614152,,,,,,
1,eg,,,,,,
2,px,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]]",,,,,,
5,0.003893136978149414,,,,,,
0,1512131773.628339,,,,,,
1,te,,,,,,
2,brh,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]]",,,,,,
5,0.003428936004638672,,,,,,
0,1512131773.639822,,,,,,
1,vk,,,,,,
2,xxir,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]]",,,,,,
5,0.003702878952026367,,,,,,
0,1512131773.65192,,,,,,
1,ma,,,,,,
2,ogsvn,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]]",,,,,,
5,0.0033979415893554688,,,,,,
0,1512131773.666865,,,,,,
1,hg,,,,,,
2,qvvpri,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]]",,,,,,
5,0.00442194938659668,,,,,,
0,1512131773.684753,,,,,,
1,ir,,,,,,
2,qinghae,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  2.  3.  4.  5.  6.]]",,,,,,
5,0.005619049072265625,,,,,,
0,1512131773.701795,,,,,,
1,il,,,,,,
2,ereeumgu,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.004472970962524414,,,,,,
0,1512131773.716376,,,,,,
1,xz,,,,,,
2,azptgzltq,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  1.  2.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.0038008689880371094,,,,,,
0,1512131773.732989,,,,,,
1,gtd,,,,,,
2,k,,,,,,
3,3,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]]",,,,,,
5,0.004369020462036133,,,,,,
0,1512131773.750247,,,,,,
1,ain,,,,,,
2,ib,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  1.  2.]
 [ 3.  2.  2.]]",,,,,,
5,0.005179882049560547,,,,,,
0,1512131773.767902,,,,,,
1,qxv,,,,,,
2,wow,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]]",,,,,,
5,0.005744218826293945,,,,,,
0,1512131773.787089,,,,,,
1,uxc,,,,,,
2,hbtf,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]]",,,,,,
5,0.0044858455657958984,,,,,,
0,1512131773.801294,,,,,,
1,fwu,,,,,,
2,nhhno,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  3.  3.  3.  4.  5.]]",,,,,,
5,0.0034019947052001953,,,,,,
0,1512131773.813952,,,,,,
1,gmf,,,,,,
2,ynsbbl,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.]]",,,,,,
5,0.0034689903259277344,,,,,,
0,1512131773.827503,,,,,,
1,wky,,,,,,
2,ocidijt,,,,,,
3,7,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.]]",,,,,,
5,0.003699064254760742,,,,,,
0,1512131773.841116,,,,,,
1,num,,,,,,
2,rikwhslg,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.00347900390625,,,,,,
0,1512131773.855062,,,,,,
1,yrk,,,,,,
2,ocowsddqr,,,,,,
3,9,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.  9.]]",,,,,,
5,0.003640890121459961,,,,,,
0,1512131773.868668,,,,,,
1,xglz,,,,,,
2,l,,,,,,
3,3,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  2.]
 [ 4.  3.]]",,,,,,
5,0.00420689582824707,,,,,,
0,1512131773.88305,,,,,,
1,kccn,,,,,,
2,dt,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]]",,,,,,
5,0.004140138626098633,,,,,,
0,1512131773.898396,,,,,,
1,njhi,,,,,,
2,hwg,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  2.  3.  3.]
 [ 4.  3.  3.  4.]]",,,,,,
5,0.003916025161743164,,,,,,
0,1512131773.914244,,,,,,
1,avym,,,,,,
2,sffk,,,,,,
3,4,,,,,,
