,0,Ed,Ed_Matrix,Str1,Str2,comptime,ref
0,1512131709.306747,,,,,,
1,t,,,,,,
2,n,,,,,,
3,1,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]]",,,,,,
5,0.0043621063232421875,,,,,,
0,1512131709.322317,,,,,,
1,u,,,,,,
2,qt,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]]",,,,,,
5,0.0040090084075927734,,,,,,
0,1512131709.336326,,,,,,
1,u,,,,,,
2,act,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]]",,,,,,
5,0.004083156585693359,,,,,,
0,1512131709.34905,,,,,,
1,v,,,,,,
2,syjx,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]]",,,,,,
5,0.0038340091705322266,,,,,,
0,1512131709.361408,,,,,,
1,o,,,,,,
2,bvhwj,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]]",,,,,,
5,0.003389120101928711,,,,,,
0,1512131709.373262,,,,,,
1,l,,,,,,
2,zmcnah,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]]",,,,,,
5,0.003406047821044922,,,,,,
0,1512131709.385031,,,,,,
1,l,,,,,,
2,psukdqd,,,,,,
3,7,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]]",,,,,,
5,0.003698110580444336,,,,,,
0,1512131709.397284,,,,,,
1,b,,,,,,
2,rnniatvi,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.0034139156341552734,,,,,,
0,1512131709.409433,,,,,,
1,r,,,,,,
2,yqdnfkkmb,,,,,,
3,9,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]]",,,,,,
