,0,Ed,Ed_Matrix,Str1,Str2,comptime,ref
0,1512130808.4622,,,,,,
1,q,,,,,,
2,m,,,,,,
3,1,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]]",,,,,,
5,0.003674030303955078,,,,,,
0,1512130808.477603,,,,,,
1,b,,,,,,
2,ax,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]]",,,,,,
5,0.0067980289459228516,,,,,,
0,1512130808.571805,,,,,,
1,x,,,,,,
2,zql,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]]",,,,,,
5,0.006262063980102539,,,,,,
0,1512130808.589489,,,,,,
1,y,,,,,,
2,utva,,,,,,
3,4,,,,,,
4,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]]",,,,,,
5,0.0048520565032958984,,,,,,
0,1512130808.604744,,,,,,
1,v,,,,,,
2,innay,,,,,,
3,5,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]]",,,,,,
5,0.00454401969909668,,,,,,
0,1512130808.623664,,,,,,
1,v,,,,,,
2,pglfta,,,,,,
3,6,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]]",,,,,,
5,0.005281209945678711,,,,,,
0,1512130808.643161,,,,,,
1,b,,,,,,
2,nvfjcen,,,,,,
3,7,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]]",,,,,,
5,0.003880023956298828,,,,,,
0,1512130808.656465,,,,,,
1,o,,,,,,
2,gqfcybqe,,,,,,
3,8,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]]",,,,,,
5,0.003947019577026367,,,,,,
0,1512130808.669292,,,,,,
1,e,,,,,,
2,dtjyskjlx,,,,,,
3,9,,,,,,
4,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]]",,,,,,
5,0.0036499500274658203,,,,,,
0,1512130808.685066,,,,,,
1,ds,,,,,,
2,m,,,,,,
3,2,,,,,,
4,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]]",,,,,,
5,0.006554126739501953,,,,,,
0,1512130808.70141,,,,,,
1,wk,,,,,,
2,qq,,,,,,
3,2,,,,,,
4,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]]",,,,,,
5,0.005391836166381836,,,,,,
0,1512130808.72626,,,,,,
1,ab,,,,,,
2,qut,,,,,,
3,3,,,,,,
4,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]]",,,,,,
5,0.011016130447387695,,,,,,
0,1512130808.752403,,,,,,
1,uw,,,,,,
2,ujlm,,,,,,
3,3,,,,,,
